i94port,portname,country,addr
ALC,ALCAN,UNITED STATES,AK
ANC,ANCHORAGE,UNITED STATES,AK
BAR,BAKERAAF-BAKERISLAND,UNITED STATES,AK
DAC,DALTONSCACHE,UNITED STATES,AK
PIZ,DEWSTATIONPTLAYDEW,UNITED STATES,AK
DTH,DUTCHHARBOR,UNITED STATES,AK
EGL,EAGLE,UNITED STATES,AK
FRB,FAIRBANKS,UNITED STATES,AK
HOM,HOMER,UNITED STATES,AK
HYD,HYDER,UNITED STATES,AK
JUN,JUNEAU,UNITED STATES,AK
5KE,KETCHIKAN,UNITED STATES,AK
KET,KETCHIKAN,UNITED STATES,AK
MOS,MOSESPOINTINTERMEDIATE,UNITED STATES,AK
NIK,NIKISKI,UNITED STATES,AK
NOM,NOM,UNITED STATES,AK
PKC,POKERCREEK,UNITED STATES,AK
ORI,PORTLIONSSPB,UNITED STATES,AK
SKA,SKAGWAY,UNITED STATES,AK
SNP,STPAULISLAND,UNITED STATES,AK
TKI,TOKEEN,UNITED STATES,AK
WRA,WRANGELL,UNITED STATES,AK
HSV,MADISONCOUNTY-HUNTSVILLE,UNITED STATES,AL
MOB,MOBILE,UNITED STATES,AL
LIA,LITTLEROCK,UNITED STATES,AR
ROG,ROGERSARPT,UNITED STATES,AR
DOU,DOUGLAS,UNITED STATES,AZ
LUK,LUKEVILLE,UNITED STATES,AZ
MAP,MARIPOSA,UNITED STATES,AZ
NAC,NACO,UNITED STATES,AZ
NOG,NOGALES,UNITED STATES,AZ
PHO,PHOENIX,UNITED STATES,AZ
POR,PORTAL,UNITED STATES,AZ
SLU,SANLUIS,UNITED STATES,AZ
SAS,SASABE,UNITED STATES,AZ
TUC,TUCSON,UNITED STATES,AZ
YUI,YUMA,UNITED STATES,AZ
AND,ANDRADE,UNITED STATES,CA
BUR,BURBANK,UNITED STATES,CA
CAL,CALEXICO,UNITED STATES,CA
CAO,CAMPO,UNITED STATES,CA
FRE,FRESNO,UNITED STATES,CA
ICP,IMPERIALCOUNTY,UNITED STATES,CA
LNB,LONGBEACH,UNITED STATES,CA
LOS,LOSANGELES,UNITED STATES,CA
BFL,MEADOWSFIELD-BAKERSFIELD,UNITED STATES,CA
